BNP FP Equity,PX_LAST,6MO_PUT_IMP_VOL
2021093,37.41,44.295
2021094,37.6,44.295
2021095,38.44,44.295
2021096,37.33,44.295
2021097,37.33,44.295
2021098,38.05,44.295
2021099,38.67,44.295
2021100,38.08,44.295
2021101,37.84,44.295
2021102,37.38,44.295
2021103,37.73,44.295
2021104,37.85,44.295
2021105,38.12,44.295
2021106,36.29,44.295
2021107,36.78,44.295
2021108,35.53,44.295
2021109,35.04,44.295
2021110,34.88,44.295
2021111,36,44.295
2021112,34.61,44.295
2021113,34.87,44.295
2021114,35.94,44.295
2021115,35.43,44.295
2021116,35.57,44.295
2021117,37,44.295
2021118,37.05,44.295
2021119,37.03,44.295
2021120,36.62,44.295
2021121,36.86,44.295
2021122,36.97,44.295
2021123,36.57,44.295
2021124,36.39,44.295
2021125,36.97,44.295
2021126,37.67,44.295
2021127,37.74,44.295
2021128,37.2,44.295
2021129,37.27,44.295
2021130,37.68,44.295
2021131,38.3,44.295
2021132,38.26,44.295
2021133,38,44.295
2021134,38.23,44.295
2021135,37.2,44.295
2021136,37.86,44.295
2021137,37.92,44.295
2021138,37.89,44.295
2021139,38.12,44.295
2021140,38.27,44.295
2021141,39.47,44.295
2021142,39.08,44.295
2021143,38.94,44.295
2021144,39.23,44.295
2021145,38.7,44.295
2021146,38.46,44.295
2021147,38.02,44.295
2021148,38.71,44.295
2021149,38.49,44.295
2021150,38.68,44.295
2021151,37.98,44.295
2021152,37.92,44.295
2021153,37.65,44.295
2021154,37.73,44.295
2021155,38.29,44.295
2021156,38.38,44.295
2021157,38.44,44.295
2021158,38.55,44.295
2021159,38.32,44.295
2021160,37.22,44.295
2021161,36.9,44.295
2021162,37.01,44.295
2021163,36.29,44.295
2021164,35.75,44.295
2021165,35.81,44.295
2021166,35.14,44.295
2021167,34.44,44.295
2021168,35.93,44.295
2021169,35.95,44.295
2021170,36.5,44.295
2021171,36.44,44.295
2021172,36.03,44.295
2021173,36.1,44.295
2021174,36.79,44.295
2021175,36.51,44.295
2021176,35.87,44.295
2021177,36.38,44.295
2021178,36.03,44.295
2021179,35.09,44.295
2021180,35.27,44.295
2021181,34.59,44.295
2021182,33.83,44.295
2021183,32.88,44.295
2021184,32.81,44.295
2021185,33.53,44.295
2021186,33.47,44.295
2021187,32.26,44.295
2021188,31.09,44.295
2021189,30.37,44.295
2021190,30.27,44.295
2021191,29.35,44.295
2021192,29.72,44.295
2021193,30.45,44.295
2021194,29.58,44.295
2021195,30.17,44.295
2021196,30.25,44.295
2021197,29.4,44.295
2021198,29.95,44.295
2021199,29.68,44.295
2021200,28,44.295
2021201,27.09,44.295
2021202,28.06,44.295
2021203,28.48,44.295
2021204,26.92,44.295
2021205,25.96,44.295
2021206,27.23,44.295
2021207,25.59,44.295
2021208,27.11,44.295
2021209,27.82,44.295
2021210,27.61,44.295
2021211,28.61,44.295
2021212,28.06,44.295
2021213,27.75,44.295
2021214,28.61,44.295
